X,Y,Z,dx,dy,dz
-4.347999,1.105,-0.7500002,-0.9745198,-0.1055337,-0.1979235
-4.441,1.092,-0.5370002,0.9472129,0.2564737,0.1923773
-3.627999,1.311,-0.3950006,0.9472129,0.2564737,0.1923773
-4.646999,0.8950006,0.7399995,0.9472129,0.2564737,0.1923773
-3.588999,1.181001,0.9549997,0.9472129,0.2564737,0.1923773
-3.525,1.193,-0.6240007,-0.9908451,-0.1048469,-0.0850473
-4.266999,0.9380003,-1.064001,-0.9745199,-0.1055333,-0.1979232
-3.316999,1.041,-0.8710005,-0.97452,-0.1055332,-0.1979232
-3.488999,0.4720003,-1.161001,-0.97452,-0.1055332,-0.1979232
-4.160999,0.4000005,-1.298,-0.9745199,-0.1055334,-0.1979233
-3.399999,-0.08199929,-0.9300005,0.9837,0.09913818,-0.1500194
-4.535999,0.8820009,0.2119994,0.9472129,0.2564737,0.1923773
-3.607999,1.090001,0.3539997,0.9472129,0.2564737,0.1923773
-4.143999,-0.1589995,-1.085,0.988499,0.105103,0.1087336
-4.647999,0.504001,1.264999,0.9472129,0.2564737,0.1923773
-4.193998,0.7540008,-1.290001,-0.97452,-0.1055331,-0.197923
-3.589999,0.7900003,1.48,0.9472129,0.2564737,0.1923773
-3.358999,0.8440006,-1.121001,-0.97452,-0.1055331,-0.1979232
-2.694999,1.099001,-1.213001,-0.9563662,-0.09361864,0.2767655
-2.910999,1.092001,-0.5120008,-0.9563662,-0.09361876,0.2767656
-2.888999,1.392001,0.922,0.9472129,0.2564737,0.1923773
-2.945999,1.392001,1.266,0.9472129,0.2564737,0.1923773
-3.094999,1.472,0.03200001,0.8072802,0.2384373,0.5398577
-3.116999,1.446001,-0.3330005,0.6916121,0.2162428,0.6891384
-2.670999,1.274,-0.3800002,-0.1523803,0.005027779,0.9883092
-2.809999,1.222,0.6509995,0.8072802,0.2384373,0.5398577
-2.687999,0.6980006,-1.325,-0.9563663,-0.0936186,0.2767654
-2.629999,0.1430006,-1.313,0.9539959,0.09319822,-0.2849667
-1.911,0.2130004,-1.528,0.9539957,0.09319844,-0.284967
-1.192999,0.2830007,-1.742001,0.9777743,0.09777312,-0.1854668
-0.3439999,0.3690009,-1.849,0.9919575,0.1015704,-0.07552313
-2.029999,0.7620008,-1.515,-0.9563663,-0.09361857,0.2767654
-1.277999,0.7010008,-1.687,-0.9563663,-0.09361857,0.2767654
-0.598999,0.8330004,-1.786,-0.9578063,-0.2691317,-0.1008721
-0.835999,1.049001,-1.444001,-0.9713881,-0.1355321,-0.1950287
-1.554999,1.085001,-1.412,-0.9563662,-0.09361865,0.2767658
-2.230999,1.273001,-1.284,-0.7075793,-0.0587159,0.7041903
-1.552,1.405,-1.383,-0.8856916,-0.252862,0.3893728
-2.499999,1.254001,-0.8780005,-0.6198862,-0.05205559,0.7829632
-2.493999,1.37,0.08399973,0.6811771,0.214109,0.7001108
-2.049,1.269001,0.09599952,0.8530833,0.1623732,0.4958668
-2.433999,1.298,-0.414,0.1672994,-0.06359068,0.9838532
-2.241999,1.281,-0.8720006,-0.6198863,-0.05205563,0.782963
-1.913,1.31,-1.184,-0.8403914,-0.08001791,0.5360405
-1.637999,1.344001,0.3259992,0.6651813,0.2485532,0.7040988
-1.174999,1.021,0.5849992,0.9850883,0.03244746,0.1689618
-2.187999,1.242001,-0.2930006,0.7062059,-0.1711449,0.6870099
-1.649999,1.113001,0.1919993,0.8596988,-0.1980842,0.4708298
-0.5319991,0.9010008,0.8259994,0.9989201,-0.01618181,0.04355342
-0.5019998,0.8010004,0.5679994,0.8086354,-0.2339898,-0.5397756
-0.2999989,0.7250004,0.1449991,0.3040256,0.02562321,-0.9523193
-0.4199997,0.7910007,-0.3430005,-0.4539289,0.2247393,-0.8622301
-0.9089987,1.041,-0.8130002,-0.8589786,0.2467878,-0.4486107
-1.442999,1.062001,-0.9630005,-0.8108577,0.5839868,-0.03833093
-1.875999,1.135001,-0.6650007,-0.5875583,0.5052119,0.6320887
-1.856999,1.215001,-0.2400003,0.6732537,0.09740661,0.7329676
-1.307999,1.073,0.1839995,0.9660242,0.2549885,-0.04216814
-0.04199921,0.7360005,-0.5800002,-0.4814451,-0.02021827,-0.8762431
0.2220003,0.5870007,0.3239995,0.8086354,-0.2339898,-0.5397756
-1.288999,1.156,-0.6240004,-0.6145511,0.7637224,0.1976236
0.199,0.6060005,-0.1210006,-0.4814451,-0.02021827,-0.8762431
-0.7429993,0.9990004,-1.102,-0.864363,0.01932383,-0.502497
-0.8579993,1.141001,0.02099987,0.5040326,0.2513207,-0.8263105
-1.618999,1.193001,-0.4280003,0.06826671,0.3622388,0.929582
-1.351999,1.598001,-0.3570004,0.04812693,0.9962601,0.07176014
-0.7759997,1.118,-0.3420001,-0.2902892,0.715076,-0.6359233
-1.433999,1.329,-0.3280004,0.1715416,0.5613322,0.809617
-1.077999,1.335,-0.1400008,0.57126,0.8155731,0.09220988
-0.05099912,0.7850007,-1.913,0.9793489,0.1054976,0.1724702
0.4020007,0.8330001,-1.886001,0.99453,0.1036978,0.01252064
-0.1439988,0.8390006,0.5519994,0.8853729,-0.1918353,-0.4234551
-1.050999,1.211,-0.5200006,-0.4695387,0.8781863,0.09122631
-1.243999,1.379001,-0.509,-0.3695192,0.9233513,0.1042975
-2.043999,1.548,0.2969997,0.730087,0.2239494,0.6456157
-2.243999,1.404001,0.7449996,0.8072802,0.2384373,0.5398577
-2.384999,1.544,1.379999,0.9472129,0.2564737,0.1923773
-2.335999,1.521,1.109,0.9472129,0.2564737,0.1923773
-1.685999,1.5,1.467999,0.9472129,0.2564737,0.1923773
-1.734999,1.523,1.739,0.9472129,0.2564737,0.1923773
-1.593999,1.383001,1.103999,0.8072802,0.2384373,0.5398577
-1.403,1.327,0.7359996,0.730087,0.2239494,0.6456157
-0.6039986,0.7880003,1.001,0.4628403,-0.8314745,-0.3072929
-1.004999,1.543,1.223999,0.8961185,0.2523103,0.3651179
-1.145999,1.683,1.858999,0.9472129,0.2564737,0.1923773
-1.096999,1.66,1.587999,0.9472129,0.2564737,0.1923773
-0.918999,1.461,0.9049994,-0.7196907,-0.4938946,-0.4879688
-0.6049989,1.165,1.103,-0.8076747,-0.2385075,-0.5392362
-0.2859996,1.526001,1.123999,-0.8076747,-0.2385075,-0.5392362
-0.5329999,1.777001,1.670999,0.9774722,0.07167123,0.1985229
-0.473999,1.743001,1.26,0.8961185,0.2523103,0.3651179
-0.2279994,1.304,1.136,-0.9243175,-0.2553392,-0.2836178
0.4760001,1.366001,1.29,-0.9865762,-0.08742888,0.1379257
0.2300005,1.805001,1.414,0.8961185,0.2523103,0.3651179
0.1710009,1.839001,1.824999,0.9774722,0.07167123,0.1985229
0.4180011,1.588,1.277999,-0.9238947,-0.2553034,-0.285024
0.6230006,1.916,1.574,0.8961185,0.2523103,0.3651179
0.7260004,1.918,1.936999,0.9774722,0.07167123,0.1985229
1.289,1.959001,1.983999,0.9214903,0.05940013,-0.3838325
0.846001,1.692,1.150999,-0.6901308,-0.1419845,0.7096195
0.8660007,1.972,1.437999,0.8940458,0.2116355,-0.3948324
0.633,1.84,1.192,-0.8377195,-0.1908177,0.5116783
0.949001,1.417,1.359999,-0.995079,-0.09891684,-0.005775833
1.396001,1.959,1.454999,0.1165617,-0.1419424,-0.9829882
1.308,1.755,1.147999,-0.3405089,0.01779667,-0.9400728
1.11,1.745001,1.219,0.0563945,0.5127097,-0.8567079
1.174,1.897,1.355,0.3358003,-0.01941273,-0.9417331
0.3930005,0.6230007,0.7329996,-0.1808843,0.07372843,-0.980737
0.5260011,0.5400004,0.1539995,0.2662378,-0.06181309,-0.9619234
0.8240001,0.4410009,0.8549995,-0.9285939,0.2853436,-0.2372602
0.848001,0.4440003,0.4299995,-0.9285939,0.2853436,-0.2372602
1.145001,0.4090008,0.3709993,-0.9285939,0.2853436,-0.2372602
1.349,0.282001,0.9469996,-0.9285939,0.2853436,-0.2372602
1.513,0.4940003,0.7329997,-0.9718028,-0.05336941,-0.2296756
1.563,0.4830008,0.5249994,-0.9718028,-0.05336941,-0.2296756
2.018,0.6680006,0.4350001,-0.9718028,-0.05336941,-0.2296756
1.964,0.6800008,0.6609992,-0.9718028,-0.05336941,-0.2296756
-0.00599896,0.9670002,-1.71,-0.9899833,-0.134718,-0.04223918
-0.105,0.8820004,-1.227,-0.9945998,0.04541739,-0.0933196
-0.2749993,1.056,-1.572,-0.9945998,0.04541739,-0.0933196
0.2989998,1.041,-1.546,-0.9945998,0.04541739,-0.0933196
0.4450009,0.9010004,-1.273001,-0.9945998,0.04541739,-0.0933196
0.4509999,0.9450006,-1.726,-0.9821299,-0.1374171,0.1285982
0.9250005,0.9030006,-1.833,0.99453,0.1036978,0.01252064
0.7460008,1.092001,-1.495,-0.9945998,0.04541739,-0.0933196
0.8660004,1.108001,-1.721,-0.9821299,-0.1374171,0.1285982
1.248,1.18,-1.684,-0.9280867,-0.3522885,0.120615
1.114,1.203001,-1.456,-0.9508564,-0.2926835,-0.1010372
1.355,0.9480005,-1.828,0.9125543,0.4089207,0.005338445
1.502,1.352,-1.443,-0.6944537,-0.7137116,-0.0913768
1.602001,1.365001,-1.69,-0.6486135,-0.7566648,0.08221342
1.731001,1.255,-1.766,0.2450531,0.9693871,-0.01541474
1.858,1.670001,-1.434,-0.6050665,0.7243586,-0.3304529
2.070001,1.454001,-1.714,0.7460299,0.6090805,0.2691849
1.651,1.622001,-1.546,-0.8421358,0.5323226,0.08625533
1.664,1.479,-1.544,-0.4021782,-0.5720208,0.714874
1.6494,1.504101,-1.420701,0.0543979,0.9975228,-0.04459956
1.945001,1.551,-1.707,-0.8338039,0.4828131,0.2676987
2.188,1.567,-1.425,0.2363239,0.1193571,-0.9643158
2.374,1.004001,0.5679996,-0.8686838,-0.4601335,-0.1834817
2.614001,0.8650004,0.2719997,0.8707901,0.4558402,0.1842128
2.061001,0.5470003,0.2739995,0.9515678,0.2186897,0.2160869
1.558,0.4420008,0.262,0.9515678,0.2186897,0.2160869
2.411001,0.9960005,0.4129993,-0.8284698,-0.4628291,-0.3153206
2.981,1.006001,0.2550001,0.8970503,0.4413244,0.02309651
3.272,1.170001,0.3709992,0.4565665,0.3589964,0.8140447
2.833,1.210001,0.6199992,-0.8978303,-0.4211673,0.1285253
3.055,1.306001,0.4459992,0.01111584,0.7360807,0.6768025
2.891,1.320001,0.548,-0.7921724,0.4989235,0.3514799
2.69,1.256001,0.3319996,0.04832476,0.9898239,0.1338411
2.705001,1.133001,0.5009995,-0.5585483,0.7334785,-0.3873411
0.4160005,0.5820004,-0.3270005,-0.3370859,0.1200405,-0.9337898
-0.1179995,0.7900002,-0.8780002,-0.6661088,0.215247,-0.7141203
0.233,0.6840007,-0.8850001,-0.8866984,0.2752833,-0.3714633
0.4360001,0.6860009,-0.6910005,-0.9855617,0.1650129,0.03793312
0.8330008,0.6770005,-0.7700007,-0.9855617,0.1650129,0.03793312
0.7980011,0.6820004,-0.9390005,-0.9855617,0.1650129,0.03793312
1.249001,0.8040002,-0.8420006,-0.9762723,-0.2135379,0.03597009
1.242001,0.8050005,-1.023001,-0.9762723,-0.2135379,0.03597009
1.805001,0.8990002,-0.862,-0.9762723,-0.2135379,0.03597009
1.791,0.9610008,-1.043,-0.9762723,-0.2135379,0.03597009
2.178001,1.192001,-0.8740002,-0.6695412,-0.7424452,0.02213065
2.170001,1.193,-1.1,0.4720598,0.4888744,0.7335948
2.356,1.391001,-0.8880003,0.1517747,0.9877344,0.03667807
2.469,1.543,-1.006,-0.4631112,0.7011286,-0.5421686
2.512,1.482001,-1.122,-0.9326532,0.3283634,-0.1494508
2.376,1.449,-1.031,-0.08530442,0.8521104,0.5163631
0.9640009,0.4050004,0.0389994,-0.9855617,0.1650129,0.03793312
0.956001,0.4060007,-0.1700008,-0.9855617,0.1650129,0.03793312
1.311,0.4460005,-0.2430004,-0.9990322,0.02243173,0.03783466
1.318001,0.4450005,-0.06400026,-0.9990322,0.02243173,0.03783466
1.709,0.6090006,-0.07800026,-0.860934,-0.5078099,0.03035988
1.702,0.6100004,-0.2570007,-0.860934,-0.5078099,0.03035988
2.096001,0.9030005,-0.3820002,-0.8953589,-0.4441991,0.03193113
2.103,0.9020007,-0.2030005,-0.8953589,-0.4441991,0.03193113
2.417,1.162,-0.2780003,-0.8878028,-0.4426192,0.1260729
2.501,1.231,-0.4620003,-0.8953589,-0.4441991,0.03193113
2.814,1.411,-0.5300004,-0.9989737,0.02488983,0.03784298
2.569,1.084,-0.5750001,0.7339545,0.6787444,-0.02483524
2.239,0.7880009,-0.5300002,0.8830087,0.4683076,-0.03136199
1.831,0.6430002,-0.4890004,0.8830087,0.4683076,-0.03136199
1.493,0.463001,-0.4770002,0.8830087,0.4683076,-0.03136199
2.661999,1.418001,-0.387,-0.5457006,0.6112081,0.5732675
2.534001,1.334001,-0.265,-0.935006,-0.3308665,0.127637
2.789001,1.42,-0.2690005,-0.1370039,0.9762836,0.1676314
2.898001,1.553,-0.3480009,-0.3751579,0.923066,-0.08488657
2.893001,1.515001,-0.4510002,-0.7020326,0.7057545,-0.09518895
